,index,No._x,Ticker,Company,Sector,Industry,Country,Market Cap_x,P/E_x,Price_x,Change_x,Volume_x,No._y,Market Cap_y,Dividend,ROA,ROE,ROI,Curr R,Quick R,LTDebt/Eq,Debt/Eq,Gross M,Oper M,Profit M,Earnings,Price_y,Change_y,Volume_y,P/E_y,Fwd P/E,PEG,P/S,P/B,P/C,P/FCF,EPS this Y,EPS next Y,EPS past 5Y,EPS next 5Y,Sales past 5Y,Outstanding,Float,Insider Own,Insider Trans,Inst Own,Inst Trans,Float Short,Short Ratio,Avg Volume_x,Perf Week,Perf Month,Perf Quart,Perf Half,Perf Year,Perf YTD,Volatility W,Volatility M,Recom,Avg Volume_y,Rel Volume,Beta,ATR,SMA20,SMA50,SMA200,52W High,52W Low,RSI,from Open,Gap
0,0,1,A,"Agilent Technologies, Inc.",Healthcare,Diagnostics & Research,USA,46.61B,47.50,152.47,-1.83%,894662,1,46.61B,0.51%,9.90%,20.40%,10.00%,2.10,1.60,0.55,0.58,53.60%,20.40%,16.10%,Aug 17/a,152.47,-1.83%,894662,47.50,25.97,3.49,7.59,9.34,32.64,44.99,-31.60%,10.15%,12.00%,13.60%,5.70%,303.00M,301.92M,0.20%,-18.11%,90.30%,1.00%,1.14%,2.09,1.64M,-2.26%,-13.97%,1.98%,16.15%,46.38%,28.68%,2.43%,2.27%,-,1.64M,0.54,1.04,3.75,-8.08%,-7.97%,8.61%,-15.09%,51.48%,27.37,-2.38%,0.55%
1,1,2,AA,Alcoa Corporation,Basic Materials,Aluminum,USA,8.46B,20.30,46.03,-2.17%,5506001,2,8.46B,-,2.90%,12.60%,5.60%,1.60,1.00,0.59,0.59,19.10%,9.40%,4.10%,Oct 14/a,46.03,-2.17%,5506001,20.30,7.82,-,0.81,2.28,5.12,-,85.00%,2.21%,28.00%,-,-3.70%,187.00M,185.07M,0.60%,-23.76%,79.00%,-2.65%,6.59%,1.60,7.63M,-7.51%,-3.12%,23.44%,44.89%,261.59%,99.70%,3.84%,4.60%,2.00,7.63M,0.72,2.58,2.31,-6.05%,1.97%,32.72%,-12.24%,303.42%,45.09,-2.19%,0.02%
2,2,3,AAAU,Goldman Sachs Physical Gold ETF,Financial,Exchange Traded Fund,USA,-,-,17.48,0.11%,207335,3,-,-,-,-,-,-,-,-,-,-,-,-,-,17.48,0.11%,207335,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,269.02K,-0.17%,-2.18%,-2.73%,1.45%,-7.37%,-7.71%,0.87%,0.75%,-,269.02K,0.77,-,0.17,-0.33%,-1.32%,-2.46%,-10.26%,4.73%,46.10,-1.19%,1.32%
3,3,4,AAC,Ares Acquisition Corporation,Financial,Shell Companies,USA,1.22B,100.72,9.77,0.10%,185353,4,1.22B,-,-,-,-,6.20,6.20,0.00,0.00,-,-,-,-,9.77,0.10%,185353,100.72,-,-,-,1.33,1107.92,-,-,-,-,-,-,125.00M,100.00M,-,-,58.70%,92.25%,0.20%,0.74,266.68K,0.10%,0.31%,-0.31%,-1.81%,-,-1.01%,0.27%,0.37%,-,266.68K,0.70,-,0.03,0.15%,0.42%,-0.09%,-2.30%,2.84%,57.92,0.10%,0.00%
4,4,5,AACG,ATA Creativity Global,Consumer Defensive,Education & Training Services,China,71.12M,-,2.30,1.32%,6529,5,71.12M,-,-8.80%,-23.90%,-48.10%,0.30,0.30,0.00,0.00,42.90%,-51.50%,-28.60%,Aug 12/a,2.30,1.32%,6529,-,-,-,2.59,2.30,5.01,-,40.00%,-6.30%,-36.60%,25.00%,-17.20%,33.68M,31.70M,18.70%,0.00%,16.50%,-,0.12%,0.04,875.20K,-4.17%,-17.27%,-19.86%,-38.83%,111.01%,93.28%,3.63%,4.74%,1.00,875.20K,0.01,1.82,0.12,-7.62%,-13.46%,-26.81%,-88.35%,116.98%,39.23,0.88%,0.44%
5,5,6,AACIU,Armada Acquisition Corp. I Unit,Financial,Shell Companies,USA,-,-,9.93,0.00%,0,6,-,-,-,-,-,-,-,-,-,-,-,-,-,9.93,0.00%,0,-,-,-,-,1986.00,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.02,339.76K,0.30%,0.10%,-,-,-,1.33%,0.65%,0.48%,-,339.76K,0.01,-,0.06,0.30%,0.52%,0.52%,-0.60%,1.74%,57.03,0.00%,0.00%
6,6,7,AADI,"Aadi Bioscience, Inc.",Healthcare,Biotechnology,USA,547.40M,-,25.98,-3.31%,37055,7,547.40M,-,-42.70%,-45.00%,-14.70%,16.90,16.90,0.00,0.00,-,-,-,-,25.98,-3.31%,37055,-,-,-,37.75,2.33,14.87,-,82.30%,-30.90%,30.90%,-,-,20.87M,13.46M,0.10%,-,10.90%,18.83%,0.87%,0.31,380.78K,-10.41%,-5.63%,-32.34%,36.38%,21.97%,76.73%,5.30%,5.36%,1.70,380.78K,0.10,1.50,1.58,-11.07%,-13.06%,3.08%,-47.83%,81.53%,34.65,-3.24%,-0.07%
7,7,8,AADR,AdvisorShares Dorsey Wright ADR ETF,Financial,Exchange Traded Fund,USA,-,-,63.53,0.23%,2935,8,-,0.31%,-,-,-,-,-,-,-,-,-,-,-,63.53,0.23%,2935,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3.98K,-0.48%,-7.43%,-4.43%,2.49%,15.53%,4.33%,0.68%,0.74%,-,3.98K,0.74,-,0.87,-2.28%,-4.62%,-1.74%,-8.41%,20.21%,42.07,0.06%,0.17%
8,8,9,AAIC,Arlington Asset Investment Corp.,Real Estate,REIT - Mortgage,USA,121.87M,-,3.78,0.80%,213350,9,121.87M,-,0.00%,0.10%,-,-,-,0.53,4.11,62.50%,-,0.90%,Aug 03/a,3.78,0.80%,213350,-,14.37,-,4.97,0.65,52.99,13.25,-743.40%,42.16%,7.90%,-14.49%,-,33.07M,31.59M,2.70%,1.75%,44.10%,-4.77%,0.88%,1.59,174.39K,1.89%,0.27%,-4.30%,-5.74%,28.14%,0.00%,1.71%,1.45%,2.70,174.39K,1.22,1.80,0.06,0.85%,0.06%,-3.72%,-14.48%,58.82%,53.91,0.80%,0.00%
9,9,10,AAL,American Airlines Group Inc.,Industrials,Airlines,USA,12.32B,-,20.07,-0.50%,21453310,10,12.32B,-,-8.70%,83.00%,-30.50%,1.10,1.00,-,-,47.80%,-33.50%,-31.10%,Jul 22/b,20.07,-0.50%,21453310,-,6.89,-,0.66,-,0.69,-,-583.80%,110.10%,-29.60%,16.09%,-15.80%,644.12M,634.98M,0.10%,0.00%,54.70%,5.07%,15.32%,3.05,31.92M,-7.30%,-0.64%,-3.69%,-12.40%,52.57%,27.27%,3.23%,3.78%,3.10,31.92M,0.67,1.71,0.79,-1.86%,-0.32%,-2.46%,-23.07%,88.81%,46.36,-0.84%,0.35%
